SN,Date,IDD_CALL_TIMES,SMS_RECEIVE_CNT,SMS_SEND_CNT,CALLING_TIMES,Calling_IMEI ,Called_IMEI ,Missed_IDD_calling,CALLING_DURATION,CALLED_DURATION,IDD_CALLING_TIMES,CELL_COUNT,CALLING_CELL_COUNT,CALLED_CELL_COUNT,IDD_SMS_CNT,IS_FRAUD
332,20191223,0,0,0,11,4,11,2,1979,0,0,3,3,0,0,1
333,20191223,0,0,0,4,1,4,1,623,0,0,5,5,0,0,1
334,20191223,0,0,0,3,1,3,1,791,0,0,4,4,0,0,1
335,20191223,2,0,2,4,1,4,1,663,0,2,5,5,0,2,1
336,20191223,0,0,0,3,1,3,1,639,0,0,2,2,0,0,1
337,20191223,0,0,0,15,5,15,3,570,149,0,4,4,0,0,1
338,20191223,0,0,0,4,1,4,1,1170,0,0,1,1,0,0,1
339,20191223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,20191223,0,0,0,0,0,0,0,4,815,0,1,1,0,0,0
341,20191223,0,0,0,0,0,0,0,33,0,0,1,1,0,0,0
342,20191223,0,0,0,2,1,2,0,196,0,0,8,8,0,0,0
343,20191223,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0
344,20191223,0,0,0,0,0,0,0,53,80,0,1,1,0,0,0
345,20191223,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
346,20191223,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
347,20191223,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0
348,20191223,0,0,0,0,0,0,0,6,7,0,1,1,0,0,0
349,20191223,3,0,3,6,2,1,1,460,0,3,25,25,0,3,0
350,20191223,0,0,0,0,0,0,0,31,0,0,2,2,0,0,0
351,20191223,0,0,0,1,0,1,0,51,177,0,2,2,0,0,0
352,20191223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353,20191223,0,0,0,1,0,1,0,77,26,0,2,2,0,0,0
354,20191223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,20191223,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
356,20191223,0,0,0,1,0,1,0,33,0,0,4,4,0,0,0
357,20191223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,20191223,0,0,0,0,0,0,0,19,0,0,1,1,0,0,0
359,20191223,0,0,0,0,0,0,0,9,79,0,1,1,0,0,0
360,20191223,2,0,2,1,0,1,0,36,0,2,4,4,0,2,0
361,20191223,0,0,0,0,0,0,0,0,443,0,0,0,0,0,0
362,20191223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
